title	author	genre	pages	language	country	publisher
The Periodic Table (Basher book)	adrian dingle	non-fiction	128 pages		united kingdom	kingfisher publications (uk)  macmillan (us)
Star Wars: The Old Republic: Fatal Alliance	sean williams	science fiction	429			del rey
Shadrach in the Furnace	robert silverberg	science fiction				new york : bobbs-merrill, 1976 ; london : gollancz, 1977.
Listening for Lions	gloria whelan	historical novel	208			
Village 1104	prateek arora	fiction	147		india	*reviewer's edition:(self-published by abc press)                    *market edition:(not confirmed yet)
Natural Symbols	mary douglas	non-fiction	177 pp.		united kingdom	barrie  &  rockliff, cresset press
Satanas sa Lupa	celso al. carunungan	novel			philippines	
The Art of Racing in the Rain	garth stein	fiction	321 (hardback)  336 (paperback)		united states	harpercollins
A Passing Season	azucena grajo uranza	fiction			philippines	
Feast of the Innocents	azucena grajo uranza	fiction			philippines	
Women of Tammuz	azucena grajo uranza	fiction	482		philippines	
The Attenbury Emeralds	jill paton walsh	crime novel			united kingdom	hodder  &  stoughton
Straight White Male	gerald haslam	fiction			united states	
Taken by Force (book)	j. robert lilly	non-fiction	256		united states	palgrave macmillan
Maza of the Moon	otis adelbert kline	science fiction novel	342		united states	a. c. mcclurg
Kai Lung Raises His Voice	ernest bramah	fantasy	x, 225		united kingdom	durrant publishing
And Who Will Make the Chapatis?	bishakha datta, et al	non-fiction	141		united states	stree publications
Sin (novel)	f. sionil josé	fiction			philippines	solidaridad publishing house (philippines),    random house (usa)
Vibora!	f. sionil josé	fiction			philippines	
Ben Singkol	f. sionil josé	fiction			philippines	
The Courtney Novels	wilbur smith	novel				pan macmillan
Dot and the Kangaroo	ethel pedley	children's novel	81 pp		australia	angus and robertson
The Shipping News	e. annie proulx	novel			united states	scribner
A Time for Judas	morley callaghan	novel	247 pp		canada	macmillan of canada
The Fifth Elephant	terry pratchett	fantasy				doubleday
The Confusion	neal stephenson	historical novel	815 pp		united states	william morrow
The Science of Discworld II: The Globe		fantasy				
Independent People	halldór laxness	novel	544 pp (first english edition)		iceland	vintage books
Theory of Games and Economic Behavior	john von neumann,	non-fiction	xviii, 625 & nbsp;p. (1st & nbsp;edition)		united states	princeton university press
The Science of Discworld		fantasy				
Bill, the Galactic Hero	harry harrison	science fiction	185			doubleday
The Metamorphosis of Prime Intellect	roger williams	science fiction	175			kuro5hin, lulu
The Cyberiad	stanisław lem	science fiction	295 pages		poland	wydawnictwo literackie (polish)  harcourt brace (english)
Macroscope (novel)	piers anthony	science fiction			united states	avon books
The Power of Myth	joseph campbell  bill moyers  betty sue flowers (ed.)	non-fiction	231 (hardcover)		united states	doubleday
The Social Animal (Aronson book)	elliot aronson	non-fiction			united states	
The Stars My Destination	alfred bester	science fiction	197		united kingdom	signet books
Titan (Varley novel)	john varley	science fiction novel	302		united states	berkley books
The City and the Stars	arthur c. clarke	science fiction	256		united kingdom	frederick muller
Gorky Park (novel)	martin cruz smith	crime novel	365 pp		united states	random house  &  gk hall
The Book of Dust	philip pullman	fantasy			united kingdom	
Beyond the Rocks	elinor glyn	novel			united kingdom	duckworth
Think and Grow Rich	napoleon hill	non-fiction	238 pages		united states	the ralston society
Devdas	sarat chandra chattopadhyay	novel			india	gcs
Gotham: A History of New York City to 1898		non-fiction	1416 pp.		united states	oxford university press
Dark Tide: Onslaught	michael a. stackpole	science fiction	304		united states	del rey
Dark Tide: Ruin	michael a. stackpole	science fiction	304		united states	del rey
The Encyclopedia of New York City		non-fiction	1584 pp. (2nd edition)		united states	yale university press
Agents of Chaos: Hero's Trial	james luceno	science fiction	352		united states	del rey
Agents of Chaos: Jedi Eclipse	james luceno	science fiction	348		united states	del rey
Star Trek Star Fleet Technical Manual	franz joseph schnaubelt	fiction			united states	ballantine books
Witches Abroad	terry pratchett	fantasy				victor gollancz
Lords and Ladies (novel)	terry pratchett	fantasy				victor gollancz
Nostromo	joseph conrad	novel			united kingdom	harper  &  bros
Recovery (novel)	troy denning	science fiction novel	108		united states	del rey
Edge of Victory: Conquest	greg keyes	science fiction	291		united states	del rey
Edge of Victory: Rebirth	greg keyes	science fiction	292		united states	del rey
The Last Book in the Universe	rodman philbrick	science fiction novel	224		united states	scholastic, inc.
The Songs of Distant Earth	arthur c. clarke	science fiction	256		united kingdom	grafton books (uk)  del rey books (us)
Earthborn	orson scott card	science fiction	378		united states	tor books
Flicker (novel)	theodore roszak	novel			united states	chicago review press
The Müller-Fokker Effect	john sladek	science fiction novel	214		united states	hutchinson
A Handful of Dust	evelyn waugh	fiction			united kingdom	
The Mauritius Command	patrick o'brian	historical novel	294 hardback edition  &  268 paperback edition		united kingdom	collins (uk)
A Hat Full of Sky	terry pratchett	fantasy				doubleday
Carpe Jugulum	terry pratchett	fantasy				doubleday, london
The Voyage of the Space Beagle	a. e. van vogt	science fiction	240		united states	simon  &  schuster
The Elegant Universe	brian greene	non-fiction	448 pp. (2003 edition)		australia	w. w. norton
The Algebraist	iain m. banks	science fiction novel	534		scotland	
The Island of Doctor Moreau	h. g. wells	science fiction			united kingdom	
The Nutmeg of Consolation	patrick o'brian	historical novel	316 paperback edition		united kingdom	harper collins (uk)  w. w. norton  &  company (us)
The Bellmaker	brian jacques	fantasy novel	352 (uk hardback); 336 (us hardback)		united kingdom	hutchinson (uk) and philomel (us)
Crossroads of Twilight	robert jordan	fantasy	847 (u.s. paperback edition)  &    704 (u.s. and uk hardback edition)		united states	tor books (u.s.)  &    orbit (uk)
The Last Starship from Earth	john boyd	science fiction			united states	weybright  &  talley, new york
Momo (novel)	michael ende	fantasy novel			germany	thienemann verlag (german), puffin books (english)
The Drifters (novel)	james a. michener	fiction	751pp.		united states	random house
Morvern Callar	alan warner	novel	240 pp (paperback edition)		scotland	vintage press
This Side of Paradise	f. scott fitzgerald	novel	305 pp   (first edition hardcover)		united states	scribner
A Calculus of Angels	gregory keyes	fantasy	406		united states	del rey
The Path of Daggers	robert jordan	fantasy	687 (u.s. paperback edition)  &    604 (u.s. hardback edition)  &    608 pp (uk hardback edition)		united states	tor books (u.s.)  &    orbit (uk)
HMS Surprise (novel)	patrick o'brian	historical novel	416		united kingdom	collins (uk)
Post Captain (novel)	patrick o'brian	historical novel	414 first edition		united kingdom	collins (uk)
Desolation Island (novel)	patrick o'brian	historical novel			united kingdom	collins (uk)
The Fortune of War	patrick o'brian	historical novel	280		united kingdom	collins (uk)
The Far Side of the World	patrick o'brian	historical novel	366 (paperback edition)		united kingdom	collins (uk)
Jailbird	kurt vonnegut	novel			united states	delacorte press
Treason's Harbour	patrick o'brian	historical novel	408 paperback edition		united kingdom	collins (uk)
The Reverse of the Medal	patrick o'brian	historical novel	256		united kingdom	collins (uk)
Blue at the Mizzen	patrick o'brian	historical novel	320 first edition, hardback		united kingdom	harper collins (uk)
The Hundred Days (novel)	patrick o'brian	historical novel	352 first edition, hardback		united kingdom	harpercollins
The Yellow Admiral	patrick o'brian	historical novel	282 first edition, hardback		united kingdom	harper collins (uk)
Clarissa Oakes	patrick o'brian	historical novel	256 paperback edition		united kingdom	harper collins (uk)
The Book of Skulls	robert silverberg	science fiction novel	222		united states	charles scribner's sons
Four Ways to Forgiveness	ursula k. le guin	science fiction	228		united states	harpercollins
The Unifying Force	james luceno	science fiction	hardcover: 544  paperback: 576		united states	del rey
Earthlight	arthur c. clarke	science fiction	222 pp		united kingdom	muller (uk)  ballantine books (us)
A Fall of Moondust	arthur c. clarke	science fiction	224 pp		united kingdom	gollancz
Our Mutual Friend	charles dickens	novel			united kingdom	chapman  &  hall
Icelander (novel)	dustin long	novel	250 pp		united states	mcsweeney's
Earth (Brin novel)	david brin	science fiction	601		united states	bantam books
The Neon Bible	john kennedy toole	novel			united states	grove press
The Twins (novel)	tessa de loo	novel	304 p. (eng trans. paperback edition)		netherlands	arcadia books
A Good School	richard yates	novel	178 (hardback first edition)		united states	
Dark Journey (novel)	elaine cunningham	science fiction novel	301		united states	del rey
Enemy Lines: Rebel Dream	aaron allston	science fiction	302		united states	del rey
The Absolute at Large	karel čapek	science fiction				
Night Watch (Discworld)	terry pratchett	fantasy				doubleday
Nightfall (Asimov novelette and novel)	isaac asimov    robert silverberg	science fiction	352		united states	
Galápagos (novel)	kurt vonnegut	science fiction			united states	delacorte press
Nine Tomorrows	isaac asimov	science fiction	236		united states	doubleday
The Jesus Incident		science fiction			united states	g. p. putnam's sons
Moving Mars	greg bear	science fiction novel	448		united states	tor books
The Joy Luck Club (novel)	amy tan	fiction	288		united states	g. p. putnam's sons
Fried Green Tomatoes at the Whistle Stop Cafe	fannie flagg	fiction	403 pp		united states	random house
Cradle (novel)	arthur c. clarke and gentry lee	science fiction	308 pp		united states	gollancz (uk)  warner books (us)
Redemption Ark	alastair reynolds	science fiction	576		united kingdom	gollancz
Forever Free (novel)	joe haldeman	science fiction novel	277		united states	ace books
Going Postal	terry pratchett	fantasy				doubleday
Of the City of the Saved...	philip purser-hallard	science fiction	256 pp		united states	mad norwegian press
The Book of the War	lawrence miles et al.	science fiction	272		united states	mad norwegian press
A Clash of Kings	george r. r. martin	fantasy	768		united states	
A Storm of Swords	george r. r. martin	fantasy	973		united states	
Everything You Always Wanted to Know About Sex* (*But Were Afraid to Ask) (book)	david reuben	non-fiction	368 pp.		united states	mckay
Reach for Tomorrow	arthur c. clarke	science fiction	166		united states	ballantine books
Enemy Lines: Rebel Stand	aaron allston	science fiction	384		united states	del rey
Traitor (Star Wars novel)	matthew stover	science fiction	292		united states	del rey
Force Heretic: Remnant	sean williams  &  shane dix	science fiction	432		united states	del rey
Force Heretic: Refugee	sean williams and shane dix	science fiction	432		united states	del rey
Force Heretic: Reunion	sean williams and shane dix	science fiction	432		united states	del rey
The Final Prophecy	greg keyes	science fiction	320		united states	del rey
Millennium (novel)	john varley	science fiction novel	215		united states	berkley books
Women in Love	d. h. lawrence	novel	536 (first edition hardcover)			thomas seltzer
Sundiver	david brin	science fiction			united states	bantam books
Star Wars: Shadows of the Empire	george lucas (characters)  steve perry (novel)  john wagner (comic)	science fiction			united states	lucasarts (video game)  bantam books (novel)  dark horse comics (comic)
The Betrothed (Manzoni novel)	alessandro manzoni	historical novel	720		italy	
The Redemption of Althalus	david eddings  &  leigh eddings	fantasy	704 pp (first edition, hardback)		united states	voyager (uk)  &  del rey books (usa)
The Witches of Eastwick	john updike	fantasy	320		united states	knopf
Capitol (short story collection)	orson scott card	science fiction	278 pp		united states	ace books
